Date,Open,High,Low,Close,Adj Close,Volume
20-01-2006,14040,14160,13700,13740,10460.69727,23040500
23-01-2006,13540,13900,13420,13700,10430.25,26815250
24-01-2006,13660,14000,13600,13940,10612.96484,29027200
25-01-2006,14180,14400,14100,14220,10826.13672,29240350
26-01-2006,14280,14360,14100,14340,10917.49805,18556250
27-01-2006,14400,14480,14260,14400,10963.17481,15678300
31-01-2006,14460,14820,14380,14800,11267.71484,22323350
01-02-2006,14700,14860,14460,14580,11100.21875,22008350
02-02-2006,14760,14780,14400,14500,11039.31055,19091550
03-02-2006,14360,14360,14040,14080,10719.55664,22207700
06-02-2006,14000,14120,13860,14120,10750.00977,21292250
07-02-2006,14180,14600,14120,14120,10750.00977,16585550
08-02-2006,14000,14180,13700,13820,10521.60352,19114600
09-02-2006,13920,13940,13740,13860,10552.06152,18383250
10-02-2006,13840,13920,13580,13740,10460.69727,21849750
13-02-2006,13720,13740,13360,13500,10277.98047,24189900
14-02-2006,13400,13540,13260,13460,10247.52832,25982850
15-02-2006,13560,13560,13080,13080,9958.224609,33419850
16-02-2006,13020,13140,12920,13140,10003.90234,24749200
17-02-2006,13220,13480,13200,13460,10247.52832,21790650
20-02-2006,13360,13680,13340,13660,10399.79492,16332050
21-02-2006,13640,13660,13400,13460,10247.52832,17356300
22-02-2006,13380,13580,13260,13400,10201.84863,24953700
23-02-2006,13420,13680,13420,13620,10369.3418,16389950
24-02-2006,13560,13640,13500,13540,10308.43848,14116450
27-02-2006,13560,13820,13540,13820,10521.60352,11793500
28-02-2006,13880,13960,13660,13740,10460.69727,12647050
02-03-2006,13920,14000,13680,13860,10552.06152,15105700
03-03-2006,13640,13680,13000,13080,9958.224609,37932400
06-03-2006,13120,13160,12980,13160,10019.12695,22717900
07-03-2006,13000,13040,12540,12600,9592.78125,39482000
08-03-2006,12300,12520,12160,12460,9486.196289,49381050
09-03-2006,12320,12580,12220,12360,9410.060547,38599000
10-03-2006,12280,12640,12280,12440,9470.970703,28422100
13-03-2006,12580,12640,12480,12640,9623.234375,19012200
14-03-2006,12560,12640,12380,12480,9501.422852,17767050
15-03-2006,12580,12740,12560,12600,9592.78125,19438500
16-03-2006,12740,12820,12620,12640,9623.234375,14018000
17-03-2006,12580,12800,12440,12740,9699.371094,13567500
20-03-2006,12780,12800,12560,12780,9729.819336,9950600
21-03-2006,12760,12800,12600,12680,9653.688477,11453100
22-03-2006,12500,12540,12180,12280,9349.15918,30051700
23-03-2006,12280,12380,12080,12160,9257.795898,25534150
24-03-2006,12160,12240,12100,12180,9273.024414,17171750
27-03-2006,12100,12580,12100,12500,9516.647461,19508950
28-03-2006,12320,12600,12320,12560,9562.328125,15167900
29-03-2006,12420,12520,12300,12520,9531.874023,15189400
30-03-2006,12640,12680,12360,12460,9486.196289,14663350
31-03-2006,12400,12600,12360,12600,9592.78125,20635450
03-04-2006,12720,12960,12640,12880,9805.955078,20549650
04-04-2006,12920,13120,12860,13060,9942.995117,19369350
05-04-2006,13100,13220,12900,12980,9882.087891,12634700
06-04-2006,13180,13320,13060,13160,10019.12695,22420200
07-04-2006,13160,13200,12960,13080,9958.224609,17596300
10-04-2006,12900,12980,12740,12840,9775.501953,20369150
11-04-2006,12740,12800,12520,12700,9668.915039,15767900
12-04-2006,12640,12660,12520,12600,9592.78125,12271800
13-04-2006,12520,12760,12500,12740,9699.371094,21813050
14-04-2006,12760,13280,12700,13120,9988.674805,32653200
17-04-2006,13200,13220,12900,12980,9882.087891,13798350
18-04-2006,12960,13200,12880,13160,10019.12695,20338250
19-04-2006,13460,13500,13260,13300,10125.71484,21183350
20-04-2006,13300,13440,13220,13260,10095.26172,17605300
21-04-2006,13400,13940,13340,13800,10506.37891,40474150
24-04-2006,13800,13800,13400,13460,10247.52832,31490750
25-04-2006,13160,13440,13060,13200,10049.58301,28671400
26-04-2006,13200,13360,13080,13360,10171.39453,22000500
27-04-2006,13360,13400,13160,13280,10110.48731,19383250
28-04-2006,13240,13240,12860,12880,9805.955078,27901900
02-05-2006,12880,13020,12640,12980,9882.087891,27714750
03-05-2006,12980,13120,12780,12780,9729.819336,21147150
04-05-2006,12780,12940,12700,12920,9836.40918,17803750
08-05-2006,13100,13240,13020,13100,9973.449219,17595050
09-05-2006,13160,13360,13140,13220,10064.80664,18637850
10-05-2006,13220,13300,13040,13100,9973.449219,17858600
11-05-2006,13140,13260,13060,13260,10095.26172,18471150
12-05-2006,13200,13200,12820,13080,9958.224609,24975900
15-05-2006,12920,13000,12780,13000,9897.314453,28216750
16-05-2006,12960,13000,12740,12820,9760.27832,22209700
17-05-2006,12840,13200,12840,13100,9973.449219,22440100
18-05-2006,12760,12880,12660,12820,9760.27832,22060000
19-05-2006,12840,12880,12620,12760,9714.595703,20910000
22-05-2006,12840,12880,12620,12760,9714.595703,22223550
23-05-2006,12300,12660,12220,12600,9592.78125,29837200
24-05-2006,12600,12680,12300,12600,9592.78125,27036100
25-05-2006,12580,12620,12300,12300,9364.381836,24470000
26-05-2006,12520,12640,12340,12420,9455.745117,23180950
29-05-2006,12440,12540,12400,12440,9470.970703,14920000
30-05-2006,12440,12480,12240,12260,9333.932617,20915300
31-05-2006,12440,12540,12400,12440,9470.970703,15162550
01-06-2006,12140,12320,12020,12120,9227.341797,29650600
02-06-2006,12220,12360,12120,12280,9349.15918,19403200
05-06-2006,12360,12380,12200,12260,9333.932617,15993450
07-06-2006,11920,12100,11920,12000,9135.983398,30545950
08-06-2006,11980,11980,11500,11540,8785.769531,41207100
09-06-2006,11560,11660,11460,11500,8755.317383,30558000
12-06-2006,11520,11520,11260,11480,8740.088867,21498400
13-06-2006,11200,11220,10960,10980,8359.423828,41305250
14-06-2006,10880,11220,10820,11060,8420.329102,32644700
15-06-2006,11280,11280,11060,11100,8450.785156,18344000
16-06-2006,11520,11540,11300,11420,8694.410156,28129000
19-06-2006,11420,11520,11220,11300,8603.052734,20069800
20-06-2006,11260,11320,11040,11120,8466.013672,19583950
21-06-2006,11120,11280,11100,11140,8481.238281,13499300
22-06-2006,11300,11440,11200,11320,8618.28125,22982200
23-06-2006,11300,11420,11220,11360,8648.729492,14896500
26-06-2006,11400,11700,11400,11640,8861.90332,22351250
27-06-2006,11700,11800,11660,11660,8877.131836,15767750
28-06-2006,11500,11600,11420,11600,8831.452148,18377100
29-06-2006,11700,11840,11680,11800,8991.46582,15998850
30-06-2006,12140,12180,12040,12060,9189.582031,29176450
03-07-2006,12140,12220,12080,12100,9220.061523,12593400
04-07-2006,12220,12240,12020,12020,9159.102539,9270000
05-07-2006,11700,12100,11700,12060,9189.582031,13375000
06-07-2006,11860,12000,11800,11960,9113.385742,17500000
07-07-2006,12020,12120,12000,12020,9159.102539,14365000
10-07-2006,11880,12140,11780,12120,9235.302734,17315000
11-07-2006,11880,12240,11880,12160,9265.783203,16385000
12-07-2006,12120,12240,11980,12160,9265.783203,23300000
13-07-2006,12000,12180,11900,12000,9143.866211,22835000
14-07-2006,11740,11820,11640,11680,8900.02832,24250000
18-07-2006,11520,11680,11520,11640,8869.549805,14245000
19-07-2006,11600,11760,11600,11600,8839.072266,11125000
20-07-2006,11880,11960,11800,11960,9113.385742,21960000
21-07-2006,11820,11940,11800,11880,9052.426758,8896300
24-07-2006,11740,11880,11660,11800,8991.46582,14934950
25-07-2006,11920,12040,11880,11960,9113.385742,15877650
26-07-2006,11960,12080,11920,11980,9128.623047,7650000
27-07-2006,11980,12100,11880,12080,9204.824219,14995000
28-07-2006,12000,12080,11940,12020,9159.102539,9564450
31-07-2006,12200,12280,12160,12160,9265.783203,23415250
01-08-2006,12180,12300,12100,12100,9220.061523,13372450
02-08-2006,12060,12280,12040,12160,9265.783203,10944800
03-08-2006,12360,12380,12200,12200,9296.263672,12565450
04-08-2006,12240,12340,12240,12300,9372.461914,8121450
07-08-2006,12380,12380,12080,12120,9235.302734,15051350
08-08-2006,12100,12340,12100,12300,9372.461914,13598300
09-08-2006,12300,12460,12180,12320,9387.705078,15112800
10-08-2006,12320,12400,12180,12240,9326.743164,15694950
11-08-2006,12340,12440,12140,12140,9250.545898,16574950
14-08-2006,12200,12220,12000,12100,9220.061523,17105950
16-08-2006,12360,12440,12280,12360,9418.180664,19587150
17-08-2006,12600,12940,12580,12880,9814.416016,38826150
18-08-2006,13000,13300,12940,13120,9997.291992,37509050
21-08-2006,13200,13360,13100,13140,10012.5332,17145000
22-08-2006,12960,13160,12960,13160,10027.77051,19445000
23-08-2006,13080,13160,12880,12920,9844.896484,14711500
24-08-2006,12780,12820,12620,12720,9692.499023,17782500
25-08-2006,12840,13020,12780,12920,9844.896484,15981600
28-08-2006,13000,13040,12860,12860,9799.176758,10722200
29-08-2006,13040,13220,13000,13180,10043.0127,15312250
30-08-2006,13200,13220,12980,13100,9982.053711,13979500
31-08-2006,13080,13240,13000,13000,9905.854492,20178950
01-09-2006,13040,13140,12980,13060,9951.574219,8951400
04-09-2006,13240,13240,13100,13160,10027.77051,8986350
05-09-2006,13120,13200,13040,13160,10027.77051,7216450
06-09-2006,13160,13160,13020,13080,9966.81543,7866200
07-09-2006,12920,13020,12860,12980,9890.615234,10126650
08-09-2006,12880,13000,12880,12940,9860.136719,7533050
11-09-2006,12940,12980,12660,12720,9692.499023,18312850
12-09-2006,12760,12840,12580,12640,9631.537109,17687250
13-09-2006,12800,12900,12740,12840,9783.936523,24360250
14-09-2006,12840,13100,12820,13100,9982.053711,31021950
15-09-2006,13060,13160,13020,13120,9997.291992,11988600
18-09-2006,13140,13580,13140,13460,10256.37012,26352850
19-09-2006,13460,13560,13420,13440,10241.13086,12795650
20-09-2006,13260,13380,13180,13340,10164.92871,14816350
21-09-2006,13480,13540,13280,13300,10134.45117,13060450
22-09-2006,13160,13220,13040,13080,9966.81543,11768200
25-09-2006,13000,13160,12960,13060,9951.574219,12493150
26-09-2006,13080,13160,12920,13020,9921.095703,12855500
27-09-2006,13100,13260,13100,13260,10103.97168,15073400
28-09-2006,13240,13440,13200,13360,10180.1709,17199900
29-09-2006,13380,13440,13220,13280,10119.21094,10884050
02-10-2006,13180,13380,13180,13300,10134.45117,13336800
04-10-2006,13180,13200,12940,12960,9875.375977,19646300
09-10-2006,13040,13140,12500,12700,9677.256836,28756900
10-10-2006,12840,13000,12800,12840,9783.936523,9863750
11-10-2006,12700,12880,12660,12820,9768.700195,10532750
12-10-2006,12720,12900,12680,12780,9738.214844,17850550
13-10-2006,12900,12960,12840,12880,9814.416016,13492650
16-10-2006,13040,13160,12920,13000,9905.854492,16781050
17-10-2006,13000,13020,12840,12940,9860.136719,9174650
18-10-2006,12820,12880,12720,12840,9783.936523,16155300
19-10-2006,12900,12960,12640,12720,9692.499023,16716600
20-10-2006,12700,12760,12580,12640,9631.537109,23209700
23-10-2006,12620,12620,12400,12500,9524.858398,21650650
24-10-2006,12600,12660,12460,12540,9555.338867,18173600
25-10-2006,12480,12620,12420,12500,9524.858398,17740950
26-10-2006,12540,12680,12500,12580,9585.817383,16658100
27-10-2006,12580,12580,12320,12400,9448.660156,22082550
30-10-2006,12340,12380,12140,12180,9281.025391,20122000
31-10-2006,12140,12320,12060,12220,9311.50293,24140400
01-11-2006,12360,12400,12260,12300,9372.461914,13952400
02-11-2006,12280,12380,12220,12280,9357.225586,13024450
03-11-2006,12340,12400,12180,12220,9311.50293,14012550
06-11-2006,12180,12200,11980,12100,9220.061523,17439800
07-11-2006,12300,12300,12100,12180,9281.025391,17791800
08-11-2006,12300,12420,12300,12300,9372.461914,13618400
09-11-2006,12400,12620,12360,12620,9616.297852,28261650
10-11-2006,12560,12640,12520,12580,9585.817383,13480750
13-11-2006,12720,12800,12660,12800,9753.460938,16464950
14-11-2006,12960,13000,12880,12940,9860.136719,18685300
15-11-2006,13100,13240,13060,13240,10088.73242,29861150
16-11-2006,13520,13520,13140,13140,10012.5332,19037300
17-11-2006,13160,13160,13060,13140,10012.5332,9296700
20-11-2006,13120,13120,12940,13040,9936.333984,14429300
21-11-2006,13060,13120,12960,13000,9905.854492,10533050
22-11-2006,12940,13200,12940,13200,10058.25293,12154500
23-11-2006,13260,13300,13020,13080,9966.81543,12492450
24-11-2006,13080,13120,12920,13040,9936.333984,9120950
27-11-2006,12940,13000,12780,12840,9783.936523,16110750
28-11-2006,12620,12740,12600,12660,9646.777344,15936500
29-11-2006,12560,12740,12560,12620,9616.297852,16956850
30-11-2006,12720,12880,12700,12800,9753.460938,15937700
01-12-2006,12800,12900,12780,12800,9753.460938,8220950
04-12-2006,12860,12920,12740,12820,9768.700195,9770000
05-12-2006,12960,13020,12760,12760,9722.977539,17541350
06-12-2006,12760,12800,12580,12700,9677.256836,13141050
07-12-2006,12580,12700,12500,12520,9540.098633,14568100
08-12-2006,12340,12360,12160,12240,9326.743164,25506450
11-12-2006,12200,12240,12040,12080,9204.824219,22559950
12-12-2006,12120,12200,11980,12000,9143.866211,16336200
13-12-2006,12000,12180,12000,12100,9220.061523,17044900
14-12-2006,12060,12280,12000,12260,9341.986328,43086900
15-12-2006,12280,12300,12140,12180,9281.025391,22955950
18-12-2006,12200,12300,12160,12200,9296.263672,20216550
19-12-2006,12200,12280,12160,12180,9281.025391,14096450
20-12-2006,12180,12400,12180,12340,9402.945313,20860850
21-12-2006,12380,12400,12260,12340,9402.945313,16119000
22-12-2006,12240,12280,12160,12220,9311.50293,17192100
26-12-2006,12180,12220,12040,12140,9250.545898,15325400
27-12-2006,12220,12280,12080,12280,9434.943359,9427500
28-12-2006,12320,12380,12200,12260,9419.578125,10913300
02-01-2007,12400,12540,12320,12520,9619.335938,17607300
03-01-2007,12540,12560,12220,12280,9434.943359,19676500
04-01-2007,12220,12240,12060,12120,9312.008789,18258900
05-01-2007,12160,12180,11900,11900,9142.979492,28400400
08-01-2007,11840,11880,11580,11680,8973.949219,33081550
09-01-2007,11740,11880,11640,11720,9004.685547,20109850
10-01-2007,11640,11680,11500,11560,8881.751953,25756300
11-01-2007,11580,11760,11560,11660,8958.584961,29839350
12-01-2007,11800,12120,11700,12120,9312.008789,40346050
15-01-2007,12240,12300,12140,12240,9404.208008,33675300
16-01-2007,12300,12300,12220,12260,9419.578125,15522550
17-01-2007,12200,12200,11940,12040,9250.544922,23396700
18-01-2007,11980,11980,11780,11880,9127.613281,21762950
19-01-2007,11760,11760,11580,11700,8989.319336,32068050
22-01-2007,11700,11860,11660,11820,9081.513672,21204000
23-01-2007,11820,12000,11760,11880,9127.613281,21732900
24-01-2007,12000,12080,11980,12040,9250.544922,14238300
25-01-2007,12120,12160,12040,12060,9265.907227,11798550
26-01-2007,12000,12000,11740,11760,9035.416016,37403750
29-01-2007,11800,11820,11540,11560,8881.751953,28106550
30-01-2007,11640,11720,11500,11700,8989.319336,18857050
31-01-2007,11700,11700,11500,11600,8912.486328,18468100
01-02-2007,11520,11680,11520,11580,8897.119141,20379600
02-02-2007,11660,11820,11600,11760,9035.416016,25061700
05-02-2007,11780,11800,11660,11720,9004.685547,24227700
06-02-2007,11700,11760,11660,11740,9020.050781,14804600
07-02-2007,11760,11780,11600,11720,9004.685547,19521900
08-02-2007,11760,11800,11600,11660,8958.584961,25787500
09-02-2007,11580,11720,11580,11660,8958.584961,15724250
12-02-2007,11600,11600,11380,11440,8789.553711,43866750
13-02-2007,11380,11420,11200,11240,8635.891602,38350000
14-02-2007,11340,11460,11340,11340,8712.72168,31505450
15-02-2007,11620,11640,11380,11500,8835.654297,31469800
16-02-2007,11560,11840,11480,11840,9096.882813,41500100
20-02-2007,11900,12040,11760,12000,9219.811523,23313850
21-02-2007,12040,12240,12000,12120,9312.008789,27616450
22-02-2007,12120,12240,12040,12040,9250.544922,18015000
23-02-2007,12060,12080,11800,11840,9096.882813,25999600
26-02-2007,11740,11780,11580,11660,8958.584961,29442950
27-02-2007,11720,11720,11500,11620,8927.850586,22474550
